Sample : Ni
Pre-Pulse  Slope = 8.407258E-3 +/- 2.093157E-4 Intercept = 5.853712E+0 +/- 5.079229E-4 Residue = 3.413946E-9
Heat Pulse  Slope = 8.303624E-2 +/- 8.990373E-4 Intercept = 5.438751E+0 +/- 6.775275E-3 Residue = 3.804583E-8
Post-Pulse  Slope = 5.835659E-3 +/- 1.530698E-3 Intercept = 6.248523E+0 +/- 1.918430E-2 Residue = 1.102090E-7
Sample Voltage = 4.000000E-1 Sample Voltage Uncertainty = 1.000000E-3
Sample Current = 5.020110E+0 Sample Current Uncertainty = 1.000000E-5
t(s)	T(K)	dT(K)
4.416253	8.081566	0.010000
4.519258	8.082860	0.010000
4.622264	8.082262	0.010000
4.725270	8.084618	0.010000
4.827276	8.083211	0.010000
4.929282	8.084856	0.010000
5.032288	8.084672	0.010000
5.135294	8.085933	0.010000
5.237300	8.084621	0.010000
5.339305	8.085515	0.010000
5.442311	8.089810	0.010000
5.544317	8.091899	0.010000
5.646323	8.095882	0.010000
5.748329	8.099842	0.010000
5.850335	8.102367	0.010000
5.952341	8.107052	0.010000
6.054347	8.111272	0.010000
6.156353	8.114239	0.010000
6.258358	8.117888	0.010000
6.360364	8.121681	0.010000
6.463370	8.125640	0.010000
6.565376	8.129383	0.010000
6.667381	8.131946	0.010000
6.769387	8.135760	0.010000
6.871393	8.139304	0.010000
6.974399	8.143167	0.010000
7.076405	8.146552	0.010000
7.178411	8.150324	0.010000
7.281416	8.153729	0.010000
7.384422	8.158281	0.010000
7.486428	8.160886	0.010000
7.588434	8.164258	0.010000
7.691440	8.168999	0.010000
7.794446	8.172412	0.010000
7.896452	8.175463	0.010000
7.999458	8.179557	0.010000
8.101463	8.182742	0.010000
8.204469	8.186902	0.010000
8.307475	8.189955	0.010000
8.409481	8.194625	0.010000
8.511487	8.196625	0.010000
8.614493	8.200232	0.010000
8.717499	8.203814	0.010000
8.819505	8.207528	0.010000
8.921510	8.212122	0.010000
9.024516	8.215384	0.010000
9.127522	8.218804	0.010000
9.229528	8.222269	0.010000
9.331534	8.225201	0.010000
9.433540	8.229491	0.010000
9.536546	8.233607	0.010000
9.638551	8.236030	0.010000
9.740557	8.238762	0.010000
9.843563	8.242643	0.010000
9.945569	8.246703	0.010000
10.047575	8.249892	0.010000
10.149580	8.253524	0.010000
10.251586	8.256118	0.010000
10.354592	8.260776	0.010000
10.457598	8.260391	0.010000
10.559604	8.261500	0.010000
10.661610	8.262038	0.010000
10.763616	8.265319	0.010000
10.865622	8.263176	0.010000
10.967628	8.262629	0.010000
11.070633	8.263749	0.010000
11.172639	8.265014	0.010000
11.275645	8.265985	0.010000
11.377651	8.265208	0.010000
11.479657	8.265969	0.010000
11.581663	8.266260	0.010000
11.683669	8.267810	0.010000
11.786674	8.266976	0.010000
11.889680	8.267141	0.010000
11.992686	8.268620	0.010000
12.095692	8.269015	0.010000
12.198698	8.269296	0.010000
12.300704	8.270063	0.010000
12.403709	8.269933	0.010000
12.505715	8.270786	0.010000
12.608721	8.272001	0.010000
12.710727	8.270934	0.010000
12.813733	8.271376	0.010000
12.915739	8.272377	0.010000
13.018745	8.273349	0.010000
